Name,Postcode,Latitude,Longitude,Opening Times,,,,,,,,,,,,,,,,,,,,
,,,,25/07/16,26/07/16,27/07/16,28/07/16,29/07/16,30/07/16,31/07/16,01/08/16,02/08/16,03/08/16,04/08/16,05/08/16,06/08/16,07/08/16,08/08/16,09/08/16,10/08/16,11/08/16,12/08/16,13/08/16,14/08/16
Berwick Street Market,W1F 0PH,51.5132,-0.1345,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,
Borough Market,SE1 1TL,51.5055,-0.0907,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-18:00 ,8:00-17:00,,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-18:00 ,8:00-17:00,,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-18:00 ,8:00-17:00,
Broadway Market,E8 4QJÊ,51.5368,-0.0615,,,,,,9:00-17:00,,,,,,,9:00-17:00,,,,,,,9:00-17:00,
Brockley Market,SE4 1UT,51.4682,-0.0259,,,,,,10:00-14:00,,,,,,,10:00-14:00,,,,,,,10:00-14:00,
Chatsworth Road Market,ÊE5 0LH,51.5534,-0.045,,,,,,,11:00-16:00,,,,,,,11:00-16:00,,,,,,,11:00-16:00
Dalston Yard Street Feast Market,E8 3DU,51.5467,-0.0732,,,,,17:00-24:00,12:00-24:00,,,,,,17:00-24:00,12:00-24:00,,,,,,17:00-24:00,12:00-24:00,
Dinerama Street  Feast Market,EC2A 3EJ,51.5229,-0.0784,,,,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,,,,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,,,,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00
Druid Street Market,SE1 2HH,51.4988,-0.0737,,,,,,10:00-16:00,,,,,,,10:00-16:00,,,,,,,10:00-16:00,
Hawker House Street Feast Market,SE16 7PJ,51.4976,-0.0439,,,,,17:00-2:00,12:00-24:00,,,,,,17:00-2:00,12:00-24:00,,,,,,17:00-2:00,12:00-24:00,
KERB Market (Kings Cross),N1C 4AA,51.5364,-0.1255,,,11:30-14:00,11:30-14:00,11:30-14:00,,,,,11:30-14:00,11:30-14:00,11:30-14:00,,,,,11:30-14:00,11:30-14:00,11:30-14:00,,
KERB Market (West India Quay),ÊE14 4AL,51.5076,-0.0238,,,11:30-14:00,11:30-14:00,11:30-14:00,,,,,11:30-14:00,11:30-14:00,11:30-14:00,,,,,11:30-14:00,11:30-14:00,11:30-14:00,,
KERB Market (Gherkin),EC3A 8EP,51.5145,-0.0803,,,,12:00-14:00,,,,,,,12:00-14:00,,,,,,,12:00-14:00,,,
Lower Marsh Market,ÊSE1 7RG,51.501,-0.1118,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 
Model Market Street Feast Market,SE13 6LS,51.4603,-0.0124,,,,,17:00-24:00,17:00-24:00,17:00-24:00,,,,,17:00-24:00,17:00-24:00,17:00-24:00,,,,,17:00-24:00,17:00-24:00,17:00-24:00
Malby Market,SE1 3PA,51.4999,-0.0762,,,,,,9:00-16:00,11:00-16:00,,,,,,9:00-16:00,11:00-16:00,,,,,,9:00-16:00,11:00-16:00
Netil Market,E8 3RL,51.5376,-0.0583,,,,,,11:00-18:00,,,,,,,11:00-18:00,,,,,,,11:00-18:00,
Spitalfields Market,E1 6AA,51.5191,-0.0759,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 
Old Truman Brewery,ÊE1 6QR,51.5202,-0.0731,,,,,,,,,,,,,,,,,,,,,
Schoolyard Market,SW18 1TE,51.4632,-0.1847,10:00-17:00 ,,,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,,,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,,,10:00-17:00 ,10:00-17:00 ,10:00-17:00 ,10:00-17:00 
Southbank Centre Market,SE1 8XX,51.5058,-0.1168,,,,,12:00-20:00,11:00-20:00,12:00-18:00,,,,,12:00-20:00,11:00-20:00,12:00-18:00,,,,,12:00-20:00,11:00-20:00,12:00-18:00
St Giles Market,WC2H 8LG,51.5154,-0.1286,,,,,,,,,,,,,,,,,,,,,
St Katherine Docks,E1W 1LA,51.5064,-0.0719,,,,,,,,,,,,,,,,,,,,,
Startisans,WC2H 9JQ,51.5148,-0.1238,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,
Street Feast,,,,,,,,,,,,,,,,,,,,,,,,
Street Food Union,W1D 7PQ,51.512,-0.1337,,,11am-3.30pm,11:00-15:30,11:00-15:30,11:00-15:30,11:00-15:30,,,11am-3.30pm,11:00-15:30,11:00-15:30,11:00-15:30,11:00-15:30,,,11am-3.30pm,11:00-15:30,11:00-15:30,11:00-15:30,11:00-15:30
Strutton Ground,SW1P 2JT,51.4973,-0.1336,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,
The Magic Roundabout,EC1Y 1BE,51.5257,-0.0876,,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,,,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,,,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,
Brixton Market,SW9 8PD,51.4632,-0.1138,,,,,,8:00-23:30,,,,,,,8:00-23:30,,,,,,,8:00-23:30,
Duke of York square Market -Fine Food Market,SW3 4LY,51.4914,-0.1594,,,,,,10:00-16:30,,,,,,,10:00-16:30,,,,,,,10:00-16:30,
Greenwich Market,SE10 9HZ,51.4816,-0.0088,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30
Night Tales Market,E9 5HB,51.5412,-0.0242,,,,,14:00-23:30,14:00-23:30,,,,,,14:00-23:30,14:00-23:30,,,,,,14:00-23:30,14:00-23:30,
Portobello Road Market,W10 5TA,51.5209,-0.209,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,
Pump Street Food Market,E1 6HU,51.5247,-0.0776,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
Red Market,EC1V 9DP,51.5266,-0.0827,,,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,,,,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,,,,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
